datetime,name,importance
2024.07.12 15:30,PPI(生産者物価指数),medium
2024.07.12 17:00,ミシガン大消費者信頼感(速報),medium
2024.07.16 15:30,小売売上高,high
2024.07.17 15:30,住宅着工件数,medium
2024.07.24 15:30,GDP(速報値),high
2024.07.24 15:30,耐久財受注(速報),medium
2024.07.26 15:30,PCEデフレーター,high
2024.07.30 17:00,消費者信頼感指数(CB),medium
2024.07.31 21:00,FOMC政策金利発表,high
2024.07.31 21:30,FRB議長記者会見,high
2024.08.01 17:00,ISM製造業景況指数,high
2024.08.02 15:30,雇用統計(NFP),high
2024.08.05 17:00,ISM非製造業景況指数,high
2024.08.09 17:00,ミシガン大消費者信頼感(速報),medium
2024.08.13 15:30,CPI(消費者物価指数),high
2024.08.14 15:30,PPI(生産者物価指数),medium
2024.08.15 15:30,小売売上高,high
2024.08.16 15:30,住宅着工件数,medium
2024.08.21 21:00,FOMC議事録,high
2024.08.22 15:30,GDP(改定値),medium
2024.08.27 15:30,PCEデフレーター,high
2024.08.27 17:00,消費者信頼感指数(CB),medium
2024.08.28 15:30,耐久財受注(速報),medium
2024.09.03 17:00,ISM製造業景況指数,high
2024.09.04 17:00,ISM非製造業景況指数,high
2024.09.06 15:30,雇用統計(NFP),high
2024.09.11 15:30,CPI(消費者物価指数),high
2024.09.12 15:30,PPI(生産者物価指数),medium
2024.09.13 17:00,ミシガン大消費者信頼感(速報),medium
2024.09.17 15:30,小売売上高,high
2024.09.18 15:30,住宅着工件数,medium
2024.09.18 21:00,FOMC政策金利発表,high
2024.09.18 21:30,FRB議長記者会見,high
2024.09.24 15:30,GDP(確定値),medium
2024.09.24 17:00,消費者信頼感指数(CB),medium
2024.09.26 15:30,PCEデフレーター,high
2024.09.26 15:30,耐久財受注(速報),medium
2024.10.01 17:00,ISM製造業景況指数,high
2024.10.03 17:00,ISM非製造業景況指数,high
2024.10.04 15:30,雇用統計(NFP),high
2024.10.10 15:30,CPI(消費者物価指数),high
2024.10.11 15:30,PPI(生産者物価指数),medium
2024.10.11 17:00,ミシガン大消費者信頼感(速報),medium
2024.10.17 15:30,小売売上高,high
2024.10.17 15:30,住宅着工件数,medium
2024.10.24 15:30,GDP(速報値),high
2024.10.24 15:30,耐久財受注(速報),medium
2024.10.29 16:00,消費者信頼感指数(CB),medium
2024.10.30 14:15,ADP民間雇用者数,medium
2024.10.30 14:30,PCEデフレーター,high
2024.11.01 14:30,雇用統計(NFP),high
2024.11.01 16:00,ISM製造業景況指数,high
2024.11.05 17:00,ISM非製造業景況指数,high
2024.11.07 21:00,FOMC政策金利発表,high
2024.11.07 21:30,FRB議長記者会見,high
2024.11.08 17:00,ミシガン大消費者信頼感(速報),medium
2024.11.13 15:30,CPI(消費者物価指数),high
2024.11.14 15:30,PPI(生産者物価指数),medium
2024.11.15 15:30,小売売上高,high
2024.11.19 15:30,住宅着工件数,medium
2024.11.20 21:00,FOMC議事録,high
2024.11.26 15:30,GDP(改定値),medium
2024.11.26 17:00,消費者信頼感指数(CB),medium
2024.11.27 15:30,PCEデフレーター,high
2024.11.27 15:30,耐久財受注(速報),medium
2024.12.02 17:00,ISM製造業景況指数,high
2024.12.04 17:00,ISM非製造業景況指数,high
2024.12.06 15:30,雇用統計(NFP),high
2024.12.11 15:30,CPI(消費者物価指数),high
2024.12.11 17:00,ミシガン大消費者信頼感(速報),medium
2024.12.12 15:30,PPI(生産者物価指数),medium
2024.12.17 15:30,小売売上高,high
2024.12.17 15:30,住宅着工件数,medium
2024.12.18 21:00,FOMC政策金利発表,high
2024.12.18 21:30,FRB議長記者会見,high
2024.12.19 15:30,GDP(確定値),medium
2024.12.20 15:30,PCEデフレーター,high
2024.12.23 17:00,消費者信頼感指数(CB),medium
2025.01.03 17:00,ISM製造業景況指数,high
2025.01.07 17:00,ISM非製造業景況指数,high
2025.01.08 21:00,FOMC議事録,high
2025.01.10 15:30,雇用統計(NFP),high
2025.01.10 17:00,ミシガン大消費者信頼感(速報),medium
2025.01.15 15:30,CPI(消費者物価指数),high
2025.01.16 15:30,PPI(生産者物価指数),medium
2025.01.16 15:30,小売売上高,high
2025.01.17 15:30,住宅着工件数,medium
2025.01.24 15:30,GDP(速報値),high
2025.01.28 17:00,消費者信頼感指数(CB),medium
2025.01.29 21:00,FOMC政策金利発表,high
2025.01.29 21:30,FRB議長記者会見,high
2025.01.31 15:30,PCEデフレーター,high
2025.02.03 17:00,ISM製造業景況指数,high
2025.02.05 17:00,ISM非製造業景況指数,high
2025.02.07 15:30,雇用統計(NFP),high
2025.02.07 17:00,ミシガン大消費者信頼感(速報),medium
2025.02.12 15:30,CPI(消費者物価指数),high
2025.02.13 15:30,PPI(生産者物価指数),medium
2025.02.14 15:30,小売売上高,high
2025.02.19 15:30,住宅着工件数,medium
2025.02.19 21:00,FOMC議事録,high
2025.02.25 17:00,消費者信頼感指数(CB),medium
2025.02.26 15:30,GDP(改定値),medium
2025.02.26 15:30,耐久財受注(速報),medium
2025.02.28 15:30,PCEデフレーター,high
2025.03.03 17:00,ISM製造業景況指数,high
2025.03.05 17:00,ISM非製造業景況指数,high
2025.03.07 15:30,雇用統計(NFP),high
2025.03.07 17:00,ミシガン大消費者信頼感(速報),medium
2025.03.12 14:30,CPI(消費者物価指数),high
2025.03.13 14:30,PPI(生産者物価指数),medium
2025.03.17 14:30,小売売上高,high
2025.03.18 14:30,住宅着工件数,medium
2025.03.19 20:00,FOMC政策金利発表,high
2025.03.19 20:30,FRB議長記者会見,high
2025.03.25 16:00,消費者信頼感指数(CB),medium
2025.03.26 14:30,GDP(確定値),medium
2025.03.26 14:30,耐久財受注(速報),medium
2025.03.28 14:30,PCEデフレーター,high
2025.04.01 17:00,ISM製造業景況指数,high
2025.04.03 17:00,ISM非製造業景況指数,high
2025.04.04 15:30,雇用統計(NFP),high
2025.04.10 15:30,CPI(消費者物価指数),high
2025.04.11 15:30,PPI(生産者物価指数),medium
2025.04.11 17:00,ミシガン大消費者信頼感(速報),medium
2025.04.16 15:30,小売売上高,high
2025.04.17 15:30,住宅着工件数,medium
2025.04.24 15:30,GDP(速報値),high
2025.04.29 17:00,消費者信頼感指数(CB),medium
2025.04.30 15:30,PCEデフレーター,high
2025.04.30 15:30,耐久財受注(速報),medium
2025.05.01 17:00,ISM製造業景況指数,high
2025.05.02 15:30,雇用統計(NFP),high
2025.05.05 17:00,ISM非製造業景況指数,high
2025.05.07 21:00,FOMC政策金利発表,high
2025.05.07 21:30,FRB議長記者会見,high
2025.05.09 17:00,ミシガン大消費者信頼感(速報),medium
2025.05.13 15:30,CPI(消費者物価指数),high
2025.05.14 15:30,PPI(生産者物価指数),medium
2025.05.15 15:30,小売売上高,high
2025.05.16 15:30,住宅着工件数,medium
2025.05.21 21:00,FOMC議事録,high
2025.05.22 15:30,GDP(改定値),medium
2025.05.27 17:00,消費者信頼感指数(CB),medium
2025.05.28 15:30,PCEデフレーター,high
2025.05.29 15:30,耐久財受注(速報),medium
2025.06.02 17:00,ISM製造業景況指数,high
2025.06.04 17:00,ISM非製造業景況指数,high
2025.06.06 15:30,雇用統計(NFP),high
2025.06.11 15:30,CPI(消費者物価指数),high
2025.06.12 15:30,PPI(生産者物価指数),medium
2025.06.13 17:00,ミシガン大消費者信頼感(速報),medium
2025.06.17 15:30,小売売上高,high
2025.06.17 15:30,住宅着工件数,medium
2025.06.18 21:00,FOMC政策金利発表,high
2025.06.18 21:30,FRB議長記者会見,high
2025.06.24 17:00,消費者信頼感指数(CB),medium
2025.06.25 15:30,GDP(確定値),medium
2025.06.26 15:30,耐久財受注(速報),medium
2025.06.27 15:30,PCEデフレーター,high
2025.07.01 17:00,ISM製造業景況指数,high
2025.07.03 15:30,雇用統計(NFP),high
2025.07.07 17:00,ISM非製造業景況指数,high
2025.07.10 15:30,CPI(消費者物価指数),high
2025.07.11 15:30,PPI(生産者物価指数),medium
2025.07.11 17:00,ミシガン大消費者信頼感(速報),medium
2025.07.16 15:30,小売売上高,high
2025.07.17 15:30,住宅着工件数,medium
2025.07.23 15:30,GDP(速報値),high
2025.07.25 15:30,PCEデフレーター,high
2025.07.25 15:30,耐久財受注(速報),medium
2025.07.29 17:00,消費者信頼感指数(CB),medium
2025.07.30 21:00,FOMC政策金利発表,high
2025.07.30 21:30,FRB議長記者会見,high
2025.08.01 15:30,雇用統計(NFP),high
2025.08.01 17:00,ISM製造業景況指数,high
2025.08.05 17:00,ISM非製造業景況指数,high
2025.08.08 17:00,ミシガン大消費者信頼感(速報),medium
2025.08.12 15:30,CPI(消費者物価指数),high
2025.08.13 15:30,PPI(生産者物価指数),medium
2025.08.15 15:30,小売売上高,high
2025.08.19 15:30,住宅着工件数,medium
2025.08.20 21:00,FOMC議事録,high
2025.08.26 17:00,消費者信頼感指数(CB),medium
2025.08.27 15:30,GDP(改定値),medium
2025.08.28 15:30,PCEデフレーター,high
2025.08.28 15:30,耐久財受注(速報),medium
2025.09.02 17:00,ISM製造業景況指数,high
2025.09.03 17:00,ISM非製造業景況指数,high
2025.09.05 15:30,雇用統計(NFP),high
2025.09.10 15:30,CPI(消費者物価指数),high
2025.09.11 15:30,PPI(生産者物価指数),medium
2025.09.12 17:00,ミシガン大消費者信頼感(速報),medium
2025.09.16 15:30,小売売上高,high
2025.09.17 15:30,住宅着工件数,medium
2025.09.17 21:00,FOMC政策金利発表,high
2025.09.17 21:30,FRB議長記者会見,high
2025.09.25 15:30,GDP(確定値),medium
2025.09.26 15:30,PCEデフレーター,high
2025.09.30 17:00,消費者信頼感指数(CB),medium
2025.10.01 17:00,ISM製造業景況指数,high
2025.10.03 15:30,雇用統計(NFP),high
2025.10.03 17:00,ISM非製造業景況指数,high
2025.10.09 15:30,CPI(消費者物価指数),high
2025.10.10 15:30,PPI(生産者物価指数),medium
2025.10.10 17:00,ミシガン大消費者信頼感(速報),medium
2025.10.15 15:30,小売売上高,high
2025.10.17 15:30,住宅着工件数,medium
2025.10.23 15:30,GDP(速報値),high
2025.10.24 15:30,耐久財受注(速報),medium
2025.10.28 16:00,消費者信頼感指数(CB),medium
2025.10.29 20:00,FOMC政策金利発表,high
2025.10.29 20:30,FRB議長記者会見,high
2025.10.31 14:30,PCEデフレーター,high
2025.11.03 17:00,ISM製造業景況指数,high
2025.11.05 17:00,ISM非製造業景況指数,high
2025.11.07 15:30,雇用統計(NFP),high
2025.11.07 17:00,ミシガン大消費者信頼感(速報),medium
2025.11.13 15:30,CPI(消費者物価指数),high
2025.11.14 15:30,PPI(生産者物価指数),medium
2025.11.17 15:30,小売売上高,high
2025.11.18 15:30,住宅着工件数,medium
2025.11.19 21:00,FOMC議事録,high
2025.11.25 15:30,GDP(改定値),medium
2025.11.25 17:00,消費者信頼感指数(CB),medium
2025.11.26 15:30,PCEデフレーター,high
2025.11.26 15:30,耐久財受注(速報),medium
2025.12.01 17:00,ISM製造業景況指数,high
2025.12.03 17:00,ISM非製造業景況指数,high
2025.12.05 15:30,雇用統計(NFP),high
2025.12.10 21:00,FOMC政策金利発表,high
2025.12.10 21:30,FRB議長記者会見,high
2025.12.11 15:30,CPI(消費者物価指数),high
2025.12.12 15:30,PPI(生産者物価指数),medium
2025.12.12 17:00,ミシガン大消費者信頼感(速報),medium
2025.12.16 15:30,小売売上高,high
2025.12.17 15:30,住宅着工件数,medium
2025.12.18 15:30,GDP(確定値),medium
2025.12.19 15:30,PCEデフレーター,high
2025.12.19 15:30,耐久財受注(速報),medium
2025.12.30 17:00,消費者信頼感指数(CB),medium
2026.01.02 17:00,ISM製造業景況指数,high
2026.01.06 17:00,ISM非製造業景況指数,high
2026.01.07 21:00,FOMC議事録,high
2026.01.09 15:30,雇用統計(NFP),high
2026.01.09 17:00,ミシガン大消費者信頼感(速報),medium
2026.01.14 15:30,CPI(消費者物価指数),high
2026.01.15 15:30,PPI(生産者物価指数),medium
2026.01.15 15:30,小売売上高,high
2026.01.21 15:30,住宅着工件数,medium
2026.01.22 15:30,GDP(速報値),high
2026.01.27 17:00,消費者信頼感指数(CB),medium
2026.01.28 21:00,FOMC政策金利発表,high
2026.01.28 21:30,FRB議長記者会見,high
2026.01.30 15:30,PCEデフレーター,high
2026.02.02 17:00,ISM製造業景況指数,high
2026.02.04 17:00,ISM非製造業景況指数,high
2026.02.06 15:30,雇用統計(NFP),high
2026.02.06 17:00,ミシガン大消費者信頼感(速報),medium
2026.02.11 15:30,CPI(消費者物価指数),high
2026.02.12 15:30,PPI(生産者物価指数),medium
2026.02.13 15:30,小売売上高,high
2026.02.18 15:30,住宅着工件数,medium
2026.02.18 21:00,FOMC議事録,high
2026.02.24 17:00,消費者信頼感指数(CB),medium
2026.02.25 15:30,GDP(改定値),medium
2026.02.26 15:30,PCEデフレーター,high
2026.02.26 15:30,耐久財受注(速報),medium
2026.03.02 17:00,ISM製造業景況指数,high
2026.03.04 17:00,ISM非製造業景況指数,high
2026.03.06 15:30,雇用統計(NFP),high
2026.03.11 14:30,CPI(消費者物価指数),high
2026.03.12 14:30,PPI(生産者物価指数),medium
2026.03.13 14:30,小売売上高,high
2026.03.13 16:00,ミシガン大消費者信頼感(速報),medium
2026.03.17 14:30,住宅着工件数,medium
2026.03.18 20:00,FOMC政策金利発表,high
2026.03.18 20:30,FRB議長記者会見,high
2026.03.24 16:00,消費者信頼感指数(CB),medium
2026.03.25 14:30,GDP(確定値),medium
2026.03.26 14:30,耐久財受注(速報),medium
2026.03.27 14:30,PCEデフレーター,high
2026.04.01 17:00,ISM製造業景況指数,high
2026.04.03 15:30,雇用統計(NFP),high
2026.04.03 17:00,ISM非製造業景況指数,high
2026.04.09 15:30,CPI(消費者物価指数),high
2026.04.10 15:30,PPI(生産者物価指数),medium
2026.04.14 15:30,小売売上高,high
2026.04.14 17:00,ミシガン大消費者信頼感(速報),medium
2026.04.16 15:30,住宅着工件数,medium
2026.04.24 15:30,GDP(速報値),high
2026.04.28 17:00,消費者信頼感指数(CB),medium
2026.04.29 21:00,FOMC政策金利発表,high
2026.04.29 21:30,FRB議長記者会見,high
2026.04.30 15:30,PCEデフレーター,high
2026.05.01 17:00,ISM製造業景況指数,high
2026.05.06 17:00,ISM非製造業景況指数,high
2026.05.08 15:30,雇用統計(NFP),high
2026.05.13 15:30,CPI(消費者物価指数),high
2026.05.14 15:30,PPI(生産者物価指数),medium
2026.05.15 15:30,小売売上高,high
2026.05.15 17:00,ミシガン大消費者信頼感(速報),medium
2026.05.19 15:30,住宅着工件数,medium
2026.05.27 17:00,消費者信頼感指数(CB),medium
2026.05.28 15:30,GDP(改定値),medium
2026.05.28 15:30,耐久財受注(速報),medium
2026.05.29 15:30,PCEデフレーター,high
