window,entry_thr,exit_ratio,trades,win_rate,pf,total_pnl,max_dd,stop_cnt,closed_cnt
12,0.0005,0.2,3967,0.23997983362742625,0.35590124771499604,-2555.0802577600225,-2555.947965720431,1564,2402
6,0.002,0.2,46,0.30434782608695654,0.35583534393163596,-10.00651506653144,-9.278445188122818,5,41
24,0.0005,0.2,4469,0.23271425374804205,0.35074015113325346,-3128.027757752149,-3130.1641521126876,2090,2377
3,0.0005,0.2,2442,0.23587223587223588,0.3235598957985841,-1606.4983249700604,-1610.7053000181745,776,1666
24,0.003,0.1,28,0.35714285714285715,0.3224114763352516,-5.1249802611302115,-6.380274072329773,2,26
6,0.0005,0.2,3277,0.23588648153799208,0.320144057316886,-2170.156821602305,-2171.9198560987907,1148,2128
6,0.003,0.2,14,0.21428571428571427,0.3074952204087923,-3.37075301518804,-3.8097869701630973,1,13
3,0.002,0.1,32,0.28125,0.2803955129952445,-10.265749741433128,-10.071381252942878,6,26
3,0.002,0.2,32,0.28125,0.24856624734978874,-9.793517540746643,-9.508165194537899,5,27
24,0.003,0.2,29,0.27586206896551724,0.24058651147050958,-6.363137970996007,-7.056629702492214,2,27
12,0.003,0.1,17,0.23529411764705882,0.20376373756756933,-3.904253123345303,-3.6012828592189017,1,16
12,0.003,0.2,18,0.2222222222222222,0.1765525492714038,-3.643474118979954,-3.122556569384317,0,18
3,0.003,0.0,7,0.14285714285714285,0.03311326830306956,-6.827138924852651,-5.734100004663272,6,1
3,0.003,0.1,7,0.0,0.0,-3.9782931649390654,-3.301485818721435,1,6
3,0.003,0.2,7,0.0,0.0,-3.574791487852521,-3.3014858187214355,1,6
6,0.005,0.0,1,0.0,0.0,-1.0577133433694375,0.0,1,0
3,0.005,0.2,1,0.0,0.0,-0.5294805939889624,0.0,0,1
3,0.005,0.0,1,0.0,0.0,-1.0577133433694375,0.0,1,0
3,0.005,0.1,1,0.0,0.0,-0.5294805939889624,0.0,0,1
12,0.005,0.1,2,0.0,0.0,-0.3737110157524537,-0.027258678071362397,0,2
6,0.005,0.2,1,0.0,0.0,-0.4646045755693162,0.0,0,1
6,0.005,0.1,1,0.0,0.0,-0.4924026651986768,0.0,0,1
12,0.005,0.2,2,0.0,0.0,-0.4264683408817138,-0.08001600320062252,0,2
